year,province,GDP,GDP_growth,income_urban,fiscal_revenue,CPI,second_portion,tertiary_portion,tertiary_growth,pop,pop_growth,city_pop_density,urban_unemploy,urban_pop_port,educ_exp_per,resid_exp_per,health_emp,health_emp_per,books,books_per,cultland,college_stu,college_stu_per,urban_area,SO2,COD,waste_water,water_per,forest_coverage,reserve_num,industry_fume,urban_green_area,urban_green_rate,fume_manage_facility,pollut_mana_inv,pollut_mana_inv_port
2010,Liangning,13896.3,8.431845315,17712.58,2004.84,3.04,54.1,37.1,5.350364524,4375,0.42,1814,3.63,62.1,1495.9,1314.79,316828,0.007241783,2953.25,0.675028571,5031.21,88.02,0.020118857,2220.5,102.22,54.2,218189,1392.1,38.2,98,26955,1060.2,0.477460032,9641,206.5,1.12
2009,Liangning,12815.7,5.585901777,15761.38,1591.22,0.05,52,38.7,7.102755491,4341,0.97,1922,3.87,60.35,1283.68,1293,310007,0.007141373,2784.86,0.641524994,5041.93,85.25,0.019638332,2030.71,105.14,56.3,217154.68,396.02,38.2,98,25211,949.09,0.467368556,10067,204.9,1.35
2008,Liangning,12137.7,17.93105459,14392.69,1356.08,4.64,55.8,34.5,11.89496233,4315,1.1,1916,3.9,60.05,1145.46,1270.95,274890,0.006370568,2584.4,0.598933951,4085.28,82.04,0.019012746,1955.53,113.1,58.4,212021,617.67,35.1,95,40219,892.94,0.456623013,10247,163.7,1.22
2007,Liangning,10292.2,22.66784263,12300.39,1082.69,5.12,53.1,36.6,21.4433954,4298,1.53,1945,4.28,59.2,1052.94,1047.04,272720,0.006345277,2583.5,0.601093532,4085.17,77.78,0.018096789,1917.59,123.38,62.8,220996.73,610.85,35.1,96,23946,873.71,0.455629201,10280,125.1,1.14
2006,Liangning,8390.3,15.55613706,10369.61,817.67,1.22,51.1,38.3,15.48016878,4271,1.1,2270.96,5.1,59.2,853.92,909.42,273374,0.006400702,2557.8,0.598876141,4174.8,72.05,0.016869586,1859.59,125.9,64.1,206236,615.54,35.1,89,27195,848.74,0.456412435,9272,145.8,1.58
2015,Neimenggu,12949,6.504252274,30594.1,1964.48,1.56,50.48,40.45,11.90203115,2440,2.4,1629,3.65,62.09,2317,3986.78,212499,0.008708975,1513.38,0.620237705,9237.99,42.44,0.017393443,1225.21,123.09,83.56,110861.37,2141.21,22.1,182,35855,673.22,0.549473152,10070,536.4,3.01
2014,Neimenggu,12158.2,6.72202521,28349.64,1843.67,3.23,51.32,39.52,9.442442402,2449,3.56,1291,3.59,60.97,2177.78,3619.29,202999,0.008289057,1448.66,0.591531237,9230.67,41.14,0.016798693,1184.81,131.24,84.77,111916.93,2149.89,22.1,182,36116.5,627.2,0.529367578,9110,562.3,3.16
2013,Neimenggu,11392.4,8.808893898,18692.9,1720.98,3.1,54,36.5,10.66699527,2455,3.36,1059,3.85,59.82,2111,1951.05,195952,0.007981752,1324.8,0.539633401,9198.98,40.44,0.016472505,1206.21,135.87,86.32,106920.47,3848.6,21,184,31128.4,525.11,0.435338788,7590,506.8,3.01
2012,Neimenggu,10470.1,10.69982343,23150.26,1552.75,5.58,55.42,35.46,8.744274437,2464,3.65,1032,3.73,58.42,1971.78,1583.56,183875,0.007462459,1209.76,0.490974026,9186.93,39.14,0.01588474,1132.8,138.49,88.39,102424.49,2052.7,21,184,28132.7,497.23,0.438938912,7400,445.1,2.8
2011,Neimenggu,9458.1,15.34408956,20407.57,1356.67,5.58,56,34.9,11.48413733,2470,3.51,764,3.8,57.04,1812.07,1418.6,175226,0.00709417,1097.86,0.444477733,9189.42,38.44,0.015562753,1077,140.94,91.9,100388.99,1691.6,21,184,30062.8,439.91,0.408458682,6804,395.9,2.76
2010,Neimenggu,8199.9,15.42327074,17698.15,1069.98,3.2,54.6,36.1,13.16161554,2472.18,3.76,981,3.9,55.5,1641.17,1384.45,168884,0.00683138,940.04,0.380247393,9187.63,37.14,0.015023178,1038.3,139.41,27.5,92548,1576.1,21,185,27488,410.59,0.395444477,5183,238.9,2.05
2009,Neimenggu,7104.2,13.80558759,15849.19,850.86,-0.27,52.5,38,16.84384428,2458.22,3.96,951,3.97,53.4,1504.36,1246.21,177697,0.007228686,870.4,0.354077341,7149,35.19,0.014315236,975.48,139.88,27.9,73154.74,1563.88,21,185,24844,389.99,0.399792922,4956,155.2,1.59
2008,Neimenggu,6242.4,20.81518899,14432.55,650.68,5.74,55,33.3,22.03181838,2444.33,4.27,649,4.1,51.71,1383.53,1028.19,131175,0.005366501,831.1,0.340011373,7147.24,31.67,0.012956516,885.42,143.1,28,70421,1710.31,20,196,20190,298.49,0.337116849,4406,135,1.74
2007,Neimenggu,5166.9,24.15060791,12377.84,492.36,4.61,51.8,35.7,26.44499861,2428.83,4.48,622,3.99,50.15,1245.09,941.79,126155,0.005194065,1007,0.414602916,7146.28,28.41,0.01169699,886.68,145.58,28.8,60405.23,1232.25,20,192,18200,279.14,0.314814815,3965,90.5,1.49
2006,Neimenggu,4161.8,18.10880608,10357.99,343.38,1.48,48.6,37.8,15.94808199,2415.05,3.96,597.84,4.1,50.15,1052.65,802.26,120575,0.00499265,660,0.273286267,8201,25.29,0.010471833,830.09,155.7,29.8,55102,1719.8,20,192,18415,255.51,0.307809997,4007,104.8,2.19
2015,Ningxia,2579.4,4.264521606,25186.01,373.45,1.87,47.38,44.45,7.206576876,684,8.04,1336,4.02,56.98,2310.03,3332.21,52568,0.00768538,706.23,1.0325,1290.1,11.56,0.016900585,455.05,35.76,21.1,32024.56,138.41,12.6,14,8760,259.23,0.569673662,2551,86.9,2.98
2014,Ningxia,2473.9,6.28087812,23284.56,339.86,3.41,48.74,43.38,8.122931442,678,8.57,1295,4.02,54.82,1957.52,3027.6,50714,0.007479941,689.6,1.017109145,1285.88,11.17,0.016474926,441.31,37.71,21.98,37277.25,152.98,12.6,14,10717,249.44,0.565226258,1821,78.6,2.86
2013,Ningxia,2327.7,9.230408259,14565.8,308.34,2.03,49.3,42,11.37440758,666,8.62,1253,4.06,52.84,1868.42,1497.98,47609,0.007148498,594.7,0.892942943,1281.12,10.83,0.016261261,420.69,38.97,22.19,38528.43,175.25,11.9,14,8909.2,237.65,0.564905275,1700,72.4,2.82
2012,Ningxia,2131,10.31162646,19831.41,263.96,6.34,49.52,41.96,13.44086022,659,8.93,1251,4.18,51.15,1515.91,1193.37,44021,0.00667997,532.54,0.808103187,1282.75,9.64,0.014628225,399.6,40.66,22.8,38948.08,168,11.9,14,9324.5,219.69,0.549774775,1766,55.7,2.38
2011,Ningxia,1931.8,22.91149711,17578.92,219.98,6.34,50.2,41,21.85179793,648,8.97,1147,4.4,50.2,1441.18,1247.14,41758,0.006444136,516.51,0.797083333,1284.99,9.14,0.014104938,371.3,41.04,23.37,39432.37,137.7,11.9,14,10055.9,205.39,0.553164557,1719,57.4,2.73
2010,Ningxia,1571.7,24.07831373,15344.49,153.55,4.07,49,41.6,24.16847433,632.96,9.04,1093,4.35,47.9,1286.2,1181.71,39674,0.006268011,462.33,0.730425303,1286.66,8.02,0.012670627,343.8,31.08,12.2,40653,148.2,11.9,13,16324,196.72,0.572193136,1370,34.5,2.04
2009,Ningxia,1266.7,11.19206461,14024.7,111.58,0.75,48.9,41.7,18.15463477,625.2,9.68,902,4.4,46.1,1075.88,1128.12,37734,0.006035509,435,0.695777351,1136,7.56,0.012092131,321.11,31.42,12.5,41336.46,135.51,11.9,13,4701,164.11,0.511070973,1503,28.7,2.12
2008,Ningxia,1139.2,29.80856882,12931.53,95.01,8.48,52.9,36.2,29.08740006,617.69,9.69,883,4.35,44.98,1043.72,1069.15,31571,0.00511114,523.4,0.847350613,1107.06,7.05,0.011413492,310.89,34.8,13.2,37948,149.84,9.8,13,4403,163.62,0.526295474,1259,30.9,2.81
2007,Ningxia,877.6,28.43553344,10859.33,80.03,5.41,50.8,38.2,27.44202389,610.25,9.76,840,4.28,44.02,863.36,910.68,30657,0.005023679,392.7,0.64350676,1106.34,6.24,0.010225317,292.29,36.98,13.7,37213.38,171.1,9.8,13,3981,128.97,0.441239865,1229,33.4,3.76
2006,Ningxia,683.3,17.83066046,9177.26,61.36,1.94,49.2,39.6,13.70355573,603.73,10.69,6144.58,4.3,44.02,846.72,890.97,27852,0.004613321,378.6,0.627101519,1268.8,5.59,0.009259106,269.37,38.3,14,25276,176.75,9.8,13,3140,105.48,0.391580354,1312,21.3,3
2015,Qinghai,2011,8.838014829,24542.35,267.13,2.76,49.95,41.41,13.52235551,577,8.55,2692,3.17,51.67,2431.2,3898.84,48440,0.008395147,414.76,0.71882149,588.42,8.12,0.01407279,194.26,15.08,10.43,23662.83,10057.6,5.8,11,5405,60.11,0.30943066,1583,34.9,1.44
2014,Qinghai,1847.7,7.844510594,22306.57,251.68,3.95,53.59,37.04,10.80231996,576,8.49,2604,3.15,50.84,2056.43,3446.45,46363,0.008049132,393.7,0.683506944,585.71,6.75,0.01171875,165.84,15.43,10.5,23001.19,13675.45,5.8,11,6439.4,54.42,0.328147612,1620,30,1.3
2013,Qinghai,1713.3,12.09028459,12947.8,223.86,3.06,57.3,32.8,12.73668438,571,8.03,2924,3.31,49.29,1471.98,1684.78,44685,0.007825744,378.77,0.663345009,588.21,7.56,0.01323993,157.36,15.67,10.34,21953.03,11216.59,5.6,11,5620.6,51.07,0.32454245,1425,36.7,1.75
2012,Qinghai,1528.5,11.53677758,17566.28,186.42,6.14,57.69,32.97,10.457418,571,8.24,2674,3.37,47.85,1097.21,1232.39,40831,0.007150788,379.49,0.664605954,588.53,6.19,0.01084063,122.1,15.39,10.38,21994.46,15687.2,5.6,11,5507.6,41.21,0.337510238,1229,24.1,1.27
2011,Qinghai,1370.4,19.76927111,15603.31,151.81,6.14,58.4,32.3,17.13077194,568,8.31,2487,3.76,46.53,967.9,1055.15,38785,0.006828345,367.73,0.647411972,588.32,5.87,0.010334507,122.1,15.66,10.32,21291.52,12956.8,5.6,11,5226.3,38.56,0.315806716,1099,26.2,1.57
2010,Qinghai,1144.2,21.76226455,13854.99,110.22,5.35,55.1,34.9,21.05824621,563.47,8.63,2320,3.8,44.72,908.07,923.52,35224,0.006251264,357.76,0.634922889,587.93,4.5,0.007986228,113.9,14.34,8.3,22609,13225,5.6,11,3952,34.09,0.299297629,981,17,1.26
2009,Qinghai,939.7,4.771992418,12691.85,87.74,2.65,53.2,36.9,5.801354402,557.3,8.32,2189,3.8,41.9,889.32,790.5,34429,0.006177822,402.32,0.721909205,542.72,4.38,0.007859322,112.39,13.57,7.6,22170.93,16113.59,5.6,11,3308,33.24,0.29575585,752,12.3,1.13
2008,Qinghai,896.9,24.55214554,11640.43,71.57,10.09,55.1,34,21.97136564,554.3,8.35,2051,3.8,40.86,880.86,802.73,25568,0.004612665,347.9,0.627638463,542.72,4.22,0.007613206,110.65,13.5,7.5,19997,11900.54,4.6,11,3237,31.79,0.287302305,771,18.1,1.88
2007,Qinghai,720.1,23.05194805,10276.06,56.71,6.64,53.3,36,24.68245795,551.6,8.8,1962,3.75,40.07,953.87,641.93,23936,0.004339376,339,0.61457578,542.2,3.77,0.006834663,110.65,13.39,7.6,19948.49,12029.45,4.6,11,2492,31.02,0.280343425,690,10.6,1.35
2006,Qinghai,585.2,17.18061674,9000.35,42.24,1.59,51.6,37.5,18.27040195,547.7,8.97,2112.91,3.9,40.07,793.72,653.04,23509,0.004292313,289,0.527661128,688,3.6,0.006572941,109.45,13,7.5,15726,10430.8,4.6,11,2099,29.87,0.272910005,573,6.1,0.94
2015,Shandong,55288.8,8.890236889,31545.27,5529.33,1.91,46.8,45.3,13.52823655,9866,5.88,1452,3.35,56.97,2023.74,4223.37,855706,0.008673282,4727.38,0.479158727,7610.97,216.95,0.021989661,4609.32,152.57,175.76,559907.67,171.52,17.5,88,56808,2400.24,0.520736247,21612,693.2,1.1
2014,Shandong,50774.8,7.245856418,29221.94,5026.83,2.23,48.44,43.48,11.09631405,9808,7.39,1426,3.3,54.77,1769.81,4015.65,838474,0.008548878,4480.34,0.456804649,7620.65,201.08,0.020501631,4400.09,159.02,178.04,514423.34,152.07,17.5,88,52095.3,2321.74,0.527657389,18517,823.8,1.39
2013,Shandong,47344.3,10.2124668,19008.3,4559.95,2.1,50.1,41.2,14.97017194,9746,5.01,1361,3.24,53.46,1909.84,1780.07,819348,0.008407018,4422.05,0.453729735,7633.53,196.17,0.020128258,4187.48,164.5,184.57,494570.19,300.45,16.7,86,47159.8,2173.66,0.519085464,16436,848,1.55
2012,Shandong,42957.3,9.963931816,25755.19,4059.43,5.02,51.46,39.98,14.7303566,9708,4.95,1349,3.33,52.03,1655.91,1572.35,738868,0.007610919,4237.26,0.436470952,7635.67,165.8,0.017078698,3927,174.88,192.12,479100.25,283.9,16.7,86,45420.2,1998.99,0.509037433,15915,739.1,1.48
2011,Shandong,39064.9,15.15926008,22791.84,3455.93,5.02,52.9,38.3,20.28627104,9665,5.1,1389,3.35,50.86,1538.44,1510.84,689628,0.007135313,3890,0.402483187,7646.92,164.6,0.017030523,3751.2,182.74,198.25,443330.98,361.6,16.7,86,50451.7,1881.36,0.501535509,15308,614.1,1.35
2010,Shandong,33922.5,14.83270595,19945.83,2749.38,2.93,54.2,36.6,21.17801022,9587.87,5.39,1389,3.36,49.7,1401.77,1408.64,645889,0.006736522,3635.84,0.379212484,7658.14,163.14,0.017015249,3566.2,153.78,62.1,436372,324.4,16.7,86,43837,1793.33,0.5028686,11886,483.9,1.24
2009,Shandong,29540.8,8.981708982,17811.04,2198.63,0,55.8,34.7,13.16091646,9470.3,5.62,1415,3.4,48.32,1332.97,1280.04,602143,0.006358225,3515.32,0.371194154,7510.76,159.3,0.016821009,3373.63,159.03,64.7,386731.08,301.75,16.7,85,35127,1684.08,0.499189301,11727,459.5,1.36
2008,Shandong,27106.2,19.31543571,16305.41,1957.05,5.29,57,33.4,20.43139992,9417.23,5.09,1413,3.7,47.6,1277.43,1247.04,438009,0.004651145,3140.7,0.333505712,7515.31,153.4,0.016289291,3261.03,169.2,67.9,358911,349.98,16.7,75,33505,1569.57,0.481311119,11453,432.2,1.39
2007,Shandong,22718.1,19.77192927,14264.7,1675.4,4.44,56.9,33.4,22.79760677,9366.97,5,1449,3.21,46.75,1191.18,1027.58,401946,0.004291099,4856.9,0.518513457,7507.06,144.04,0.015377438,3081.91,182.21,72,334254.73,414.56,16.7,75,31341,1460.76,0.473978799,10756,320.8,1.24
2006,Shandong,18967.8,18.93901865,12192.24,1356.25,1.01,57.7,32.6,21.68514155,9308.9,5.5,1859.88,3.3,46.75,1201.97,838.17,395897,0.004252887,4285.4,0.460355144,7689.3,133.81,0.014374416,2895.05,196.2,75.8,299812,214.82,16.7,75,25751,1325.82,0.457961002,10594,258.1,1.17
2015,Shanxi,11836.4,-2.135646192,25827.72,1642.35,1.66,40.69,53.18,18.28075741,3519,4.42,3920,3.51,55.87,2585.76,3072.31,294851,0.008378829,1548.46,0.440028417,4058.79,82.34,0.023398693,1123.46,112.06,40.51,145252.2,257.11,20.5,46,33721,481.5,0.428586688,16943,257.6,2.02
2014,Shanxi,12094.7,0.896789909,24069.43,1820.64,3.06,49.32,44.5,8.138449178,3528,4.99,3974,3.4,54.3,2026.52,2898.83,289266,0.00819915,1471.75,0.417162698,4056.83,76.87,0.021788549,1097.36,120.82,44.13,145033.49,305.06,20.5,46,36024.7,466.92,0.425493913,16748,293.2,2.3
2013,Shanxi,11987.2,2.602905051,15119.7,1701.62,2.5,53.9,40,9.953681597,3535,5.24,3526,3.13,52.88,2065.44,1612.36,283860,0.008029986,1465.68,0.414619519,4061.99,70.8,0.020028289,1040.69,125.54,46.13,138030.43,349.55,18,46,41276,432.71,0.415791446,14353,337.2,2.68
2012,Shanxi,11683.1,7.239499192,20411.71,1516.38,5.21,55.57,38.66,17.72774545,3548,4.87,3028,3.33,51.32,1506.2,1438.88,279466,0.007876719,1461.92,0.412040586,4064.19,63.7,0.017953777,1013.8,130.18,47.68,134298.48,295,18,46,38124.3,415.12,0.409469323,12706,328.2,2.71
2011,Shanxi,10894.4,22.35537236,18123.87,1213.43,5.21,59,35.2,16.87966096,3562,4.86,2977,3.48,49.79,1419.43,1327.78,271627,0.007625688,1320.16,0.370623245,4064.51,59.5,0.016704099,956.9,139.91,48.96,116132.01,347,18,46,42195.2,384.77,0.402100533,11557,248.5,2.21
2010,Shanxi,8903.9,24.57188427,15647.66,969.67,3.02,56.9,37.1,16.4906238,3574.11,5.3,2890,3.58,48.05,1229.68,1245,275955,0.007720943,1207.85,0.337944271,4064.18,56.29,0.015749375,864.7,124.92,33.3,118299,261.5,18,46,35190,346.07,0.400219729,9517,206.9,2.25
2009,Shanxi,7147.6,-1.043887581,13996.55,805.83,-0.42,54.3,39.2,6.197927251,3427.36,4.89,2931,3.86,45.99,1070.6,1319.45,264352,0.007712992,1176.42,0.343243779,4068.43,54.74,0.015971477,822.93,126.84,34.4,105875.05,250.83,18,46,23693,321.81,0.391053917,9200,157.8,2.14
2008,Shanxi,7223,21.68946695,13119.05,748,7.19,61.5,34.2,21.21883929,3410.64,5.31,2918,3.29,45.11,1041.91,1250.87,191152,0.005604579,1101.5,0.322959914,4055.82,52.68,0.015445781,784.1,130.8,35.9,106911,256.91,14.1,46,23180,303.57,0.38715725,9216,140.9,2.03
2007,Shanxi,5935.6,25.92498303,11564.95,597.89,4.63,60,35.3,22.43199228,3392.58,5.33,2914,3.24,44.03,1054.05,991.77,175088,0.00516091,2012.7,0.593265303,4053.45,48.45,0.014281167,774.42,138.67,37.4,104594.39,305.56,14.1,46,21429,318.95,0.411856615,7893,97,1.69
2006,Shanxi,4713.6,15.54640388,10027.7,583.38,2.03,57.8,36.4,14.96428819,3374.55,5.75,2487.78,3.2,44.03,1007.92,830.38,178994,0.005304233,1034,0.306411225,4588.6,44.64,0.01322843,733.86,147.8,38.7,89142,263.06,14.1,45,18128,256.31,0.349262802,8648,63.2,1.33
2015,Shannxi,17898.8,2.851889096,26420.21,2059.95,1.64,50.4,40.74,12.42747327,3846,3.82,4031,3.36,54.74,2277.07,3763.95,349892,0.009097556,1506.35,0.391666667,3995.17,115.54,0.030041602,1073.36,73.5,48.91,168121.98,881.06,43.1,60,17303,673.34,0.627319818,4578,240.4,1.33
2014,Shannxi,17402.5,9.412526563,24365.76,1890.4,3.05,54.14,37.01,12.72763492,3827,3.87,5474,3.34,53.01,2147.53,3620.36,336288,0.008787248,1514.1,0.395636269,3994.77,106.12,0.027729292,967.56,78.1,50.49,145785.38,932.84,43.1,60,16542.5,441.04,0.455827029,4284,285.4,1.61
2013,Shannxi,15905.4,12.46605951,14371.5,1748.33,2.79,55.5,34.9,15.50438134,3804,3.86,5541,3.32,51.57,2208.06,1465.81,321908,0.008462355,1377.12,0.362018927,3992.01,105.37,0.02769979,915.02,80.62,51.93,132169.33,941.26,41.4,57,16279.5,410.67,0.448809862,3835,221.7,1.38
2012,Shannxi,14142.4,16.15838884,20733.88,1600.69,5.7,55.86,34.66,15.80805614,3787,3.88,5483,3.22,49.71,2078.52,1322.22,293775,0.00775746,1399.65,0.369593346,3985.49,102.63,0.027100607,863.5,84.38,53.62,128749.05,1041.9,41.4,57,14767.4,386.68,0.447805443,4701,180.6,1.25
2011,Shannxi,12175.1,23.66533945,18245.23,1500.18,5.7,55.4,34.8,17.6744186,3765,3.69,5821,3.59,47.35,1857.6,1193.81,275464,0.007316441,1223.2,0.324887118,3989.87,92.84,0.024658699,809,91.68,55.77,121814.67,1616.6,41.4,55,15704.3,355.66,0.439629172,4848,153.3,1.23
2010,Shannxi,9845.2,23.09885218,15695.21,958.21,3.97,53.8,36.4,18.53067798,3735,3.72,5506,3.85,45.76,1595.8,1126.92,260056,0.006962677,1127.15,0.301780455,3991.72,92.78,0.024840696,758.5,77.86,30.8,115673,1360.3,41.4,54,13510,332.32,0.438127884,3983,179.2,1.77
2009,Shannxi,7997.8,11.42411324,14128.76,735.27,0.52,51.9,38.5,15.550068,3727,4,5530,3.94,43.5,1430.22,1018.23,245352,0.006583096,1058.76,0.284078347,2860.04,89.37,0.023979072,685.62,80.44,31.8,111218.74,1105.63,41.4,54,11032,304.86,0.444648639,4035,119.1,1.46
2008,Shannxi,7177.8,26.32968425,12857.89,591.48,6.36,56.1,32.9,23.90031926,3718,4.08,5488,3.91,42.1,1281.58,1007.68,183510,0.004935718,1002.2,0.269553523,4050.35,83.97,0.022584723,659.74,88.9,33.2,104883,809.59,37.3,50,9706,296.37,0.449222421,4036,75.5,1.1
2007,Shannxi,5681.8,23.63565149,10763.34,475.24,5.15,54.2,34.9,21.35170039,3708,4.05,5938,4.02,40.62,1230.74,831.27,177666,0.004791424,948.8,0.25587918,4049.04,77.65,0.020941208,653.34,92.72,34.5,99348.16,1007.71,37.3,50,6469,282.37,0.432194569,3800,63.8,1.17
2006,Shannxi,4595.6,20.3919103,9267.7,362.48,1.48,53.9,35.3,16.82172492,3699,4.04,6307.38,4,40.62,1280.14,746.59,168190,0.004546905,927,0.250608273,5140.5,72.62,0.019632333,628.56,98.1,35.5,82204,739.12,37.3,50,5535,258.48,0.411225659,3874,41,0.91
2015,Shanghai,26887,6.39973407,52961.86,5519.5,2.65,31.81,67.76,11.19876397,2458,2.45,3809,4.04,88.53,4003.28,12679.12,208444,0.008480228,7568.18,3.078999186,189.81,51.16,0.02081367,998.75,17.08,19.88,224147.22,264.82,14,4,12802,1388.1,1.389837297,6171,220.3,0.88
2014,Shanghai,25269.8,8.902306058,48841.4,4585.55,2.3,34.66,64.82,11.62248073,2467,3.14,3826,4.06,89.3,3604.95,11621.72,201735,0.008177341,7362.61,2.984438589,188.21,50.66,0.020535063,998.75,18.81,22.44,221159.73,194.79,14,4,13007.4,1364.27,1.365977472,5518,250,1.06
2013,Shanghai,23204.1,8.910802794,44878.32,4109.51,2.83,37.2,62.2,13.72009137,2448,2.94,3809,3.98,89.6,4122.07,2847.88,192333,0.00785674,7239,2.957107843,188.01,50.48,0.020620915,998.75,21.58,23.56,222962.91,116.9,10.7,4,13344.1,1349.04,1.350728411,4896,187.6,0.87
2012,Shanghai,21305.6,6.476358966,40188.34,3743.71,5.18,38.92,60.45,10.99719137,2399,4.2,3754,3.05,89.3,3723.74,1790.48,183416,0.007645519,7202.4,3.002250938,188.19,50.66,0.021117132,998.75,22.82,24.26,219244.06,143.4,10.7,4,13361.3,1344.05,1.345732165,4795,134.1,0.66
2011,Shanghai,20009.7,11.68994273,36230.48,3429.83,5.18,41.3,58,13.00199689,2356,1.87,3702,3.54,89.3,3746.38,2225.68,176632,0.007497114,6893.19,2.925802207,187.65,51.13,0.021702037,998.75,24.01,24.9,214155.09,89.1,10.7,4,13704.3,1319.42,1.321071339,4730,144.8,0.75
2010,Shanghai,17915.4,13.80348613,31838.08,2873.58,3.11,42.1,57.3,9.748763936,2302.66,1.98,3630,4.35,89.3,3363.25,2166.22,171935,0.007466799,6808.73,2.956897675,188.23,51.57,0.022395838,998.75,35.81,22,248250,163.1,10.7,4,12969,1301.6,1.303229036,4319,134,0.78
2009,Shanghai,15742.4,8.292689638,28837.78,2540.3,-0.41,39.9,59.4,15.01686536,2210.28,2.7,3030,4.26,88.6,3138.98,1913.22,169506,0.007668983,6593.43,2.983074543,202.3,51.28,0.02320068,998.75,37.89,24.3,230517.53,218.28,10.7,4,10059,1265.19,1.266773467,3986,160.1,1.06
2008,Shanghai,14536.9,12.87552315,26674.9,2358.75,5.78,45.5,53.7,15.6340646,2140.64,2.72,2978,4.2,88.6,2874.54,1646.19,162160,0.007575305,6394.1,2.987003887,243.96,50.29,0.023492974,998.75,44.6,26.7,223751,197.54,9.4,4,10436,359.86,0.360310388,3839,153.5,1.12
2007,Shanghai,12878.7,21.50977932,23622.73,2074.48,3.15,46.6,52.6,27.3134703,2063.59,3.04,2930,4.22,88.7,2653.67,1412.1,155809,0.007550385,6253.9,3.030592317,259.63,48.49,0.023497885,885.67,49.78,29.4,226614.08,187.86,9.4,4,9591,335.01,0.37825601,3551,123,1.01
2006,Shanghai,10598.9,15.24176099,20667.91,1576.07,1.21,48.5,50.6,16.35309332,1964.11,1.58,2774.21,4.4,88.7,2431.74,1435.72,138002,0.007026185,6062.4,3.086588837,315.1,46.63,0.023741033,860.21,50.8,30.2,222565,153.85,9.4,4,9428,323.04,0.375536206,3332,94.3,0.91
2015,Sichuan,30342,5.021234766,26205.25,3355.44,1.57,44.08,43.68,9.807145939,8196,3.36,1902,4.12,48.27,1962.52,3223.58,646542,0.007888507,3327.76,0.40602245,6731.44,138.08,0.016847243,2281.64,71.76,118.64,341607.41,2717.17,38,168,16538,967.95,0.424234323,9851,216,0.72
2014,Sichuan,28891.3,8.949769968,24234.41,3061.07,2.81,48.93,38.7,13.30234188,8139,3.2,3068,4.15,46.51,1672.4,3186.13,626938,0.007702887,3162.14,0.388517017,6734.18,132.8,0.016316501,2216.56,79.64,121.63,331276.53,3148.47,38,168,20053.7,922.72,0.416284693,9604,288.2,1.01
2013,Sichuan,26518,10.85008193,14231,2784.1,2.53,51.7,35.2,13.53992125,8109,3,2900,4.11,44.96,1877.55,1321.54,596001,0.007349871,3048.14,0.375895918,6734.78,127.68,0.015745468,2058.11,81.67,123.2,307647.83,3052.88,35.2,167,19760.6,985.37,0.478774215,9246,234,0.89
2012,Sichuan,23922.4,13.64074695,20306.99,2421.27,5.34,51.66,34.53,16.70638849,8085,2.97,2866,4.02,43.35,1587.43,1284.09,549023,0.006790637,3362.8,0.415930736,6732.06,122.4,0.015139147,1901.7,86.44,126.87,283657.06,3587.2,35.2,167,21909.6,922.55,0.485118578,8384,178.3,0.75
2011,Sichuan,21050.9,22.21273977,17899.12,2044.79,5.34,52.5,33.4,24.78685924,8064,2.98,2782,4.16,41.85,1369.47,1226.14,505712,0.00627123,3135.62,0.388841766,6735.57,113.9,0.014124504,1788.1,90.2,130.23,279851.96,2782.9,35.2,167,23171.8,859.91,0.480907108,9411,140.1,0.67
2010,Sichuan,17224.8,21.38175976,15461.16,1561.67,3.18,50.5,35.1,21.93974335,8044.92,2.31,2743,4.14,40.18,1224.73,1126.65,467126,0.005806472,2599.12,0.323075929,6720.1,108.62,0.013501688,1629.7,113.1,74.1,256095,3173.5,35.2,166,20107,801.57,0.491851261,7346,89,0.52
2009,Sichuan,14190.6,11.24472805,13839.4,1174.59,0.8,47.4,36.7,10.84769523,8185,2.72,2737,4.34,38.7,1150.73,973.02,437760,0.00534832,2480.36,0.303037263,3976.09,103.59,0.012656078,1509.51,113.53,74.8,262708.65,2857.51,35.2,166,13410,738.26,0.489072613,6927,103.5,0.73
2008,Sichuan,12756.2,20.77333106,12633.38,1041.66,5.07,46.3,34.8,21.64100507,8138,2.39,2677,4.57,37.4,947.01,819.28,324525,0.003987773,2304.9,0.283226837,5947.4,99.11,0.012178668,1391.68,114.8,74.9,262343,3061.67,34.3,164,12997,639.85,0.45976805,6811,100.7,0.81
2007,Sichuan,10562.1,24.33752811,11098.28,850.86,5.93,44.2,36.5,23.74480233,8127,2.92,2587,4.24,35.6,1031.81,690.27,311364,0.003831229,2117.2,0.260514335,5950.12,91.84,0.011300603,1328.35,117.87,77.1,252961.78,2822.58,34.3,163,22970,620.56,0.467166033,6148,102.2,0.97
2006,Sichuan,8494.7,18.04916689,9350.11,607.58,2.31,43.7,37.8,13.81246689,8169,2.86,2653.32,4.5,35.6,976.33,728.43,285785,0.003498409,2094.4,0.25638389,9169.1,86.06,0.010534949,1272.88,128.1,80.6,234483,2278.05,34.3,164,10553,600.75,0.471961222,5798,71.1,0.82
2015,Tianjin,10879.5,2.245174144,34101.35,2667.11,1.85,46.5,52.15,6.158907659,1439,0.23,3492,3.5,82.88,2112.23,5485.84,118111,0.008207853,1696.93,1.17924253,436.9,51.29,0.035642808,885.43,18.59,20.91,93008.03,83.56,12.1,8,8355,322.08,0.363755463,5140,126.4,0.76
